,day,best_agent_profit,day_best_agent_profit
314,314,71127.11972045898,70954.66371536255
315,315,71127.11972045898,70954.66371536255
316,316,71127.11972045898,70954.66371536255
317,317,71127.11972045898,70954.66371536255
318,318,71127.11972045898,70954.66371536255
319,319,71127.11972045898,70954.66371536255
320,320,71127.11972045898,70954.66371536255
321,321,71127.11972045898,70954.66371536255
322,322,71127.11972045898,70954.66371536255
323,323,71127.11972045898,70954.66371536255
324,324,71127.11972045898,70956.44189453125
325,325,71127.11972045898,70956.44189453125
326,326,71127.11972045898,70955.62516784668
327,327,71127.11972045898,70955.62516784668
328,328,71127.11972045898,70955.62516784668
329,329,71127.11972045898,70955.62516784668
330,330,71127.11972045898,70955.62516784668
331,331,71127.11972045898,70955.62516784668
332,332,71127.11972045898,70955.62516784668
333,333,71127.11972045898,70955.62516784668
334,334,71127.11972045898,70955.62516784668
335,335,71127.11972045898,70955.62516784668
336,336,71127.11972045898,70955.62516784668
337,337,71127.11972045898,70955.62516784668
338,338,71127.11972045898,70955.62516784668
339,339,71127.11972045898,70955.62516784668
340,340,71127.11972045898,70955.62516784668
341,341,71127.11972045898,70955.62516784668
342,342,71127.11972045898,70954.66371536255
343,343,71127.11972045898,71102.0477027893
344,344,71127.11972045898,70954.66371536255
345,345,71127.11972045898,70954.66371536255
346,346,71127.11972045898,70954.66371536255
347,347,71127.11972045898,70954.66371536255
348,348,71127.11972045898,70954.66371536255
349,349,71127.11972045898,70954.66371536255
350,350,71127.11972045898,70954.66371536255
351,351,71127.11972045898,70954.66371536255
352,352,71127.11972045898,70954.66371536255
353,353,71127.11972045898,70954.66371536255
354,354,71127.11972045898,70954.66371536255
355,355,71127.11972045898,70954.66371536255
356,356,71127.11972045898,70954.66371536255
357,357,71127.11972045898,70954.66371536255
358,358,71127.11972045898,70956.48700332642
359,359,71127.11972045898,70954.66371536255
360,360,71127.11972045898,70954.66371536255
361,361,71127.11972045898,70954.66371536255
362,362,71127.11972045898,70954.66371536255
363,363,71127.11972045898,70954.66371536255
364,364,71127.11972045898,71016.19862747192
365,365,71127.11972045898,71018.11059188843
366,366,71127.11972045898,70954.66371536255
367,367,71127.11972045898,70954.66371536255
368,368,71127.11972045898,70957.15732955933
369,369,71127.11972045898,70957.15732955933
370,370,71127.11972045898,70954.66371536255
371,371,71127.11972045898,70954.66371536255
372,372,71127.11972045898,70954.66371536255
373,373,71127.11972045898,71018.39725112915
374,374,71127.11972045898,70954.66371536255
375,375,71127.11972045898,70954.66371536255
376,376,71127.11972045898,70954.66371536255
377,377,71127.11972045898,70954.66371536255
378,378,71127.11972045898,70954.66371536255
379,379,71127.11972045898,70954.66371536255
380,380,71127.11972045898,71076.87356185913
381,381,71127.11972045898,71076.87356185913
382,382,71127.11972045898,71076.87356185913
383,383,71127.11972045898,71076.87356185913
384,384,71127.11972045898,71076.87356185913
385,385,71127.11972045898,71076.87356185913
386,386,71127.11972045898,71077.16022109985
387,387,71127.11972045898,71077.16022109985
388,388,71127.11972045898,71076.87356185913
389,389,71127.11972045898,71076.87356185913
390,390,71127.11972045898,71076.87356185913
391,391,71127.11972045898,71076.87356185913
392,392,71127.11972045898,71076.87356185913
393,393,71127.11972045898,71076.87356185913
394,394,71127.11972045898,71076.87356185913
395,395,71127.11972045898,71076.87356185913
396,396,71127.11972045898,71076.87356185913
397,397,71127.11972045898,71076.87356185913
398,398,71127.11972045898,71076.87356185913
399,399,71127.11972045898,71077.68267440796
400,400,71127.11972045898,71077.68267440796
401,401,71127.11972045898,71077.68267440796
402,402,71127.11972045898,71077.68267440796
403,403,71127.11972045898,71077.68267440796
404,404,71127.11972045898,71077.68267440796
405,405,71127.11972045898,71077.68267440796
406,406,71127.11972045898,71077.68267440796
407,407,71127.11972045898,71077.68267440796
408,408,71127.11972045898,71077.68267440796
409,409,71127.11972045898,71077.68267440796
410,410,71127.11972045898,71093.35177230835
411,411,71127.11972045898,71093.35177230835
412,412,71127.11972045898,71093.35177230835
413,413,71127.11972045898,71093.35177230835
414,414,71127.11972045898,71106.67677307129
415,415,71127.11972045898,71093.35177230835
416,416,71127.11972045898,71093.35177230835
417,417,71127.11972045898,71093.35177230835
418,418,71127.11972045898,71093.35177230835
419,419,71127.11972045898,71093.35177230835
420,420,71127.11972045898,71093.35177230835
421,421,71127.11972045898,71093.35177230835
